Expediente|Numero|Inscripcion|Fojas|Tomo|Libro|Predio|Fecha|Lugar|Observaciones
58113|1|3186184|250 a 284|123|APENDICE|0001432 1|21/2/24 000000|PUEBLA, PUEBLA|CANCELACION DE HIPOTECA
58130|1|FME 31983|||||26/2/24 000000|PUEBLA, PUEBLA|NCI 202400050724
58167|1|1101249|||Matricula|305-2023|19/2/24 000000|PUEBLA|
58076|1|FME 31983|||||21/2/23 000000|PUEBLA, PUE|NCI-202400046074
56773|1|1749263|118 a 139|188|APENDICE|0011149 1|21/2/24 000000|CHOLULA, PUEBLA|COMPRAVENTA
56420|1|8640|2548 a 2565|1|7760|PRIMERA|15/11/23 000000|XALAPA, VERACRUZ|FIDEICOMISO IRREVOCABLE DE GARANTIA
58149|1|3184386|||||18/2/24 000000|PUEBLA, PUEBLA|FOLIO 0101138 1
57738|1|3185059|||||18/2/24 000000|PUEBLA, PUEBLA|FOLIO 0012546 1 
56821|1|383|72 FTE|188|1||15/2/24 000000|TEPEACA, PUEBLA|
57808|1|0|||||25/8/23 000000|PUEBLA, PUEBLA|FME N-2021073262, NCI 202300216689
56807|2|1736432|430 a 478|130|APENDICE|0300246 1|12/2/24 000000|SAN ANDRES CHOLULA|HIPOTECA
56807|1|1736421|430 a 478|130|APENDICE|0300246 1|12/2/24 000000|SAN ANDRES CHOLULA|COMPRAVENTA
57948|1|1745962 |25 a 42|142|APENDICE|0294019 1|14/2/24 000000|CHOLULA, PUEBLA.|COMPRAVENTA
57448|1|3179551|265 a 286|51|APENDICE|0055672 1|29/1/24 000000|PUEBLA, PUEBLA|DONACION
58193|1|3182605|475 a 481|76|APENDICE|354012 1|7/2/24 000000|PUEBLA, PUEBLA|CANCELACION DE HIPOTECA
54899|2|387077|245 a 260|29|APENDICE|46421 1|7/2/24 000000|HUEJOTZINGO, PUEBLA|CANCELACION DE EMBARGO 2
54899|1|387054|245 a 260|29|APENDICE|46421 1|7/2/24 000000|HUEJOTZINGO, PUEBLA|CANCELACION DE EMBARGO 1
55028|1|1744678|1 a 24|142|APENDICE|2781801|14/2/24 000000|CHOLULA, PUEBLA|HIPOTECA
55289|2|3181067|||||8/2/24 000000|PUEBLA, PUEBLA|FOLIO 0360091 1 SUCESION TESTAMENTARIA
55289|1|3181057|||||8/2/24 000000|PUEBLA, PUEBLA|FOLIO 0360091 1 NOMBRAMIENTO DE ALBACEA 
55032|4|1736680|65 a 104|85|APENDICE|0267477 1|2/2/24 000000|CHOLULA, PUEBLA|COMPRAVENTA
55032|3|1736676|65 a 104|85|APENDICE|0267479 1|2/2/24 000000|CHOLULA, PUEBLA|COMPRAVENTA
55032|2|1736677|65 a 104|85|APENDICE|0267477 1|2/2/24 000000|CHOLULA, PUEBLA|CANCELACION DE HIPOTECA
55032|1|1736673|65 a 104|85|APENDICE|0267479 1|2/2/24 000000|CHOLULA, PUEBLA|CANCELACION DE HIPOTECA
58030|1|1743797||||0187954 1|9/2/23 000000|CHOLULA, PUEBLA|
57343|1|3181337|387 a 427|65|APENDICE|24433 1|2/2/24 000000|PUEBLA, PUEBLA|CONVENIO MODIFICATORIO
54632|2|387167|68 a 110|30|APENDICE|0046421 1|8/2/24 000000|HUEJOTZINGO, PUEBLA|COMPRAVENTA
54632|1|387160|68 a 110|30|APENDICE|0046421 1|8/2/24 000000|HUEJOTZINGO, PUEBLA|FUSION DE PREDIOS
58255|1|NCI|202400024359||FME     N-|2024006937|29/1/24 000000|PUEBLA|
58248|1|NCI|202400028548||FME    N-|2021012703|2/2/24 000000|PUEBLA|
58247|1|NCI|202400028357||FME   N-|2021025187|2/2/24 000000|PUEBLA|
58235|1|FME 36345|||||31/1/24 000000|PUEBLA, PUEBLA|NCI 202400025927
58264|1|NCI|202400027703||FME|39563|1/2/24 000000|PUEBLA|
57438|1|FME 31983|||||26/12/23 000000|PUEBLA, PUEBLA|NCI 202300328274
58270|1|NCI|202400028906||FME    N-|2020016036|2/2/24 000000|PUEBLA|
57518|2|1739882|486 a 536|63|APENDICE|309545 1|30/1/24 000000|CORONANGO|HIPOTECA
57518|1|1739863|486 a 536|63|APENDICE|309545 1|30/1/24 000000|CORONANGO|COMPRAVENTA
57821|1|1739980|495 a 498|73|APENDICE|29883 1|31/1/24 000000|JUAN C BONILLA, CHOLULA|
56359|1|467695|||||2/2/24 000000|TECALI DE HERRERA, PUEBLA.|FOLIO 0153949 1
57449|1|3179251|361 a 389|40|APENDICE|9369 1|25/1/24 000000|PUEBLA, PUEBLA|DONACION
57913|1|1738193|||||31/1/24 000000|CHOLULA, PUEBLA|FOLIO 0317697 1
58186|1|NCI|202400000962||FME     N|2017069548|3/1/24 000000|OAXACA|
58187|1|NCI|202400018252||FME|52830|24/1/24 000000|PUEBLA|P0R LA PROTOCOLIZACION
55689|1|1414056|53 a 124|915|APENDICE|0012150 1|3/10/21 000000|CHOLULA, PUEBLA|CONSTITUCION DE FIDEICOMISO
56046|5|2912693|356 a 383 |42|APENDICE|0015453 1|24/1/22 000000|PUEBLA, PUEBLA|CONVENIO MODIFICATORIO
56046|4|2912690|356 a 383|42|APENDICE|0026223 1|24/1/22 000000|PUEBLA, PUEBLA|CONVENIO MODIFICATORIO
56046|3|2912679|356 a 383|42|APENDICE|0002706 1|24/1/22 000000|PUEBLA, PUEBLA|CONVENIO MODIFICATORIO
56046|2|2912666|356 a 383|42|APENDICE|0015452 1|24/1/22 000000|PUEBLA, PUEBLA|CONVENIO MODIFICATORIO
56046|1|2912663|356 a 383|42|APENDICE|0002014 1|24/1/22 000000|PUEBLA, PUEBLA|CONVENIO MODIFICATORIO
58197|1|0|||||25/1/24 000000|PUEBLA, PUEBLA|FME N-2020076106, NCI 202400019733
57756|1|466370|||||25/1/24 000000|TECALI DE HERRERA, PUEBLA|FOLIO 0155196 1
